yearmonth,m1,m2,m3,all
2000-02,tensor(-0.1082),tensor(0.1134),tensor(0.5284),tensor(0.3367)
2000-11,tensor(-0.1118),tensor(0.0386),tensor(-0.1343),tensor(0.1653)
2008-05,tensor(-0.2279),tensor(-0.0731),tensor(0.0530),tensor(0.1422)
2007-08,tensor(-0.2139),tensor(-0.1078),tensor(-0.0856),tensor(0.1209)
2019-11,tensor(0.1141),tensor(0.1645),tensor(-0.0975),tensor(0.1180)
2010-02,tensor(-0.4408),tensor(0.3236),tensor(-0.0770),tensor(0.0860)
2013-08,tensor(-0.1223),tensor(-0.0601),tensor(0.0965),tensor(0.0765)
2012-02,tensor(-0.1270),tensor(-0.1126),tensor(-0.0153),tensor(0.0725)
2021-11,tensor(-0.4875),tensor(0.0078),tensor(0.0636),tensor(0.0709)
2004-08,tensor(-0.3329),tensor(0.1301),tensor(0.0729),tensor(0.0597)
2019-02,tensor(0.0945),tensor(0.0287),tensor(0.0306),tensor(0.0542)
2022-05,tensor(-0.2329),tensor(-0.1955),tensor(0.1244),tensor(0.0503)
2013-05,tensor(-0.2900),tensor(0.0688),tensor(-0.2600),tensor(0.0394)
2001-05,tensor(-0.0338),tensor(-0.3065),tensor(0.2324),tensor(0.0385)
2002-05,tensor(0.3583),tensor(-0.2005),tensor(-0.1151),tensor(0.0349)
2003-11,tensor(-0.0696),tensor(0.2081),tensor(-0.1921),tensor(0.0289)
2013-11,tensor(0.0461),tensor(-0.1615),tensor(-0.0570),tensor(0.0276)
2005-08,tensor(-0.0301),tensor(-0.5705),tensor(-0.1645),tensor(0.0143)
2006-11,tensor(-0.0991),tensor(0.1163),tensor(-0.0326),tensor(0.0120)
2002-02,tensor(-0.2687),tensor(-0.0452),tensor(0.1126),tensor(-0.0120)
2018-05,tensor(-0.1043),tensor(0.0727),tensor(-0.0810),tensor(-0.0124)
2016-11,tensor(-0.0120),tensor(-0.0663),tensor(-0.0137),tensor(-0.0177)
2003-02,tensor(0.0178),tensor(-0.3502),tensor(-0.2056),tensor(-0.0205)
2016-05,tensor(-0.0534),tensor(-0.0520),tensor(-0.1842),tensor(-0.0252)
